date,eng_name
9/30/2008,Rosh Hashana
10/1/2008,Rosh Hashana (Day 2)
10/2/2008,Gedaliah Fast
10/8/2008,Yom Kippur Eve
10/9/2008,Yom Kippur
10/13/2008,Sukkot Eve
10/14/2008,Sukkot (Day 1)
10/15/2008,Sukkot (Day 2)
10/16/2008,Sukkot (Day 3)
10/17/2008,Sukkot (Day 4)
10/18/2008,Sukkot (Day 5)
10/19/2008,Sukkot (Day 6)
10/20/2008,Sukkot (Day 7) / Hoshanah Rabah
10/21/2008,Shemini Atzeret / Simchat Torah
12/22/2008,Hanukkah (Day 1)
12/23/2008,Hanukkah (Day 2)
12/24/2008,Hanukkah (Day 3)
12/25/2008,Hanukkah (Day 4)
12/26/2008,Hanukkah (Day 5)
12/27/2008,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/28/2008,Hanukkah (Day 7)
12/29/2008,Hanukkah (Day 8)
1/6/2009,Asarah B'Tevet (Tenth of Tevet)
1/27/2009,Holocaust Remembrance Day
2/9/2009,Tu Bishvat
2/10/2009,Election Day
3/9/2009,Fast of Esther
3/10/2009,Purim
3/11/2009,Shushan Purim (Jerusalem)
4/8/2009,Passover Eve
4/9/2009,Passover (Day 1)
4/10/2009,Passover (Day 2)
4/11/2009,Passover (Day 3)
4/12/2009,Passover (Day 4)
4/13/2009,Passover (Day 5)
4/14/2009,Passover (Day 6)
4/15/2009,Passover (Day 7)
4/21/2009,Yom HaShoah
4/28/2009,Yom HaZikaron
4/29/2009,Yom HaAtzmaut
5/12/2009,Lag BaOmer
5/21/2009,Jerusalem Day
5/28/2009,Shavuot Eve
5/29/2009,Shavuot
7/9/2009,17th of Tammuz
7/30/2009,Tisha B'Av
9/18/2009,Rosh Hashana Eve
9/19/2009,Rosh Hashana
9/20/2009,Rosh Hashana (Day 2)
9/21/2009,Gedaliah Fast
9/27/2009,Yom Kippur Eve
9/28/2009,Yom Kippur
10/2/2009,Sukkot Eve
10/3/2009,Sukkot (Day 1)
10/4/2009,Sukkot (Day 2)
10/5/2009,Sukkot (Day 3)
10/6/2009,Sukkot (Day 4)
10/7/2009,Sukkot (Day 5)
10/8/2009,Sukkot (Day 6)
10/9/2009,Sukkot (Day 7) / Hoshanah Rabah
10/10/2009,Shemini Atzeret / Simchat Torah
12/12/2009,Hanukkah (Day 1)
12/13/2009,Hanukkah (Day 2)
12/14/2009,Hanukkah (Day 3)
12/15/2009,Hanukkah (Day 4)
12/16/2009,Hanukkah (Day 5)
12/17/2009,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/18/2009,Hanukkah (Day 7)
12/19/2009,Hanukkah (Day 8)
12/27/2009,Asarah B'Tevet (Tenth of Tevet)
1/27/2010,Holocaust Remembrance Day
1/30/2010,Tu Bishvat
2/25/2010,Fast of Esther
2/28/2010,Purim
3/1/2010,Shushan Purim (Jerusalem)
3/29/2010,Passover Eve
3/30/2010,Passover (Day 1)
3/31/2010,Passover (Day 2)
4/1/2010,Passover (Day 3)
4/2/2010,Passover (Day 4)
4/3/2010,Passover (Day 5)
4/4/2010,Passover (Day 6)
4/5/2010,Passover (Day 7)
4/12/2010,Yom HaShoah
4/19/2010,Yom HaZikaron
4/20/2010,Yom HaAtzmaut
5/2/2010,Lag BaOmer
5/12/2010,Jerusalem Day
5/18/2010,Shavuot Eve
5/19/2010,Shavuot
6/29/2010,17th of Tammuz
7/20/2010,Tisha B'Av
9/8/2010,Rosh Hashana Eve
9/9/2010,Rosh Hashana
9/10/2010,Rosh Hashana (Day 2)
