season_label,onset_date,onset_week,peak_date,peak_week,end_date,end_week,duration_weeks,peak_ili,total_ili_burden
2011,2011-01-02,52,2011-01-09,1,2011-03-27,12,13,9784.0,49098.0
2012,2011-11-06,44,2012-02-26,8,2012-04-01,13,22,2924.0,33146.0
2013,2012-11-04,44,2013-01-27,4,2013-03-17,11,20,7450.0,50314.0
2014,2013-11-17,46,2014-02-16,7,2014-04-06,14,21,5478.0,45504.0
2015,2014-11-02,44,2015-02-01,5,2015-03-29,13,22,4900.0,42164.0
2016,2015-11-15,46,2016-01-17,2,2016-03-13,10,18,7262.0,58120.0
2017,2016-11-13,45,2017-01-01,52,2017-03-12,10,18,4562.0,36378.0
2018,2017-11-05,44,2018-01-07,1,2018-03-25,12,21,4818.0,46528.0
2019,2018-10-21,42,2019-01-20,3,2019-03-24,12,23,6292.0,47256.0
2020,2019-11-10,45,2020-01-05,1,2020-03-08,10,18,8380.0,62624.0
2022,2021-12-05,48,2021-12-26,51,2022-01-30,4,9,6392.0,25222.0
2023,2022-11-06,44,2023-01-08,1,2023-03-26,12,21,4214.0,47582.0
2024,2023-11-19,46,2024-02-11,6,2024-04-14,15,22,10424.0,69468.0
2025,2024-11-03,44,2025-01-12,2,2025-04-20,16,25,12646.0,98024.0
2026,2025-10-19,42,2025-11-09,45,2025-11-09,45,4,1982.0,4644.0
