section,metric,value
overall,mae,314.32064159005995
overall,rmse,727.1815299784362
overall,mape,21.621392966951994
overall,smape,21.188464952519915
overall,r2,0.9227770585405691
overall,directional_accuracy,59.84251968503938
overall,within_20pct,56.25
overall,within_30pct,75.78125
overall,within_50pct,93.75
in_season,mae,720.6886462576527
in_season,rmse,1149.2688934511216
in_season,mape,21.451305941568393
in_season,smape,21.825191117100967
in_season,r2,0.881426443438537
in_season,directional_accuracy,86.0
in_season,within_20pct,54.90196078431373
in_season,within_30pct,76.47058823529412
in_season,within_50pct,96.07843137254902
off_season,mae,45.16780732970629
off_season,rmse,64.84073026250846
off_season,mape,21.73404800973854
off_season,smape,20.766737233122072
off_season,r2,0.42409471922380726
off_season,directional_accuracy,39.473684210526315
off_season,within_20pct,57.14285714285714
off_season,within_30pct,75.32467532467533
off_season,within_50pct,92.20779220779221
