season,start,end,weeks,peak,total
2011,2011-01-02,2011-03-27,13,9784.0,49098
2012,2011-11-06,2012-04-01,22,2924.0,33146
2013,2012-11-04,2013-03-17,20,7450.0,50314
2014,2013-11-17,2014-04-06,21,5478.0,45504
2015,2014-11-02,2015-03-29,22,4900.0,42164
2016,2015-11-15,2016-03-13,18,7262.0,58120
2017,2016-11-13,2017-03-12,18,4562.0,36378
2018,2017-11-05,2018-03-25,21,4818.0,46528
2019,2018-10-21,2019-03-24,23,6292.0,47256
2020,2019-11-10,2020-03-08,18,8380.0,62624
2022,2021-12-05,2022-01-30,9,6392.0,25222
2023,2022-11-06,2023-03-26,21,4214.0,47582
2024,2023-11-19,2024-04-14,22,10424.0,69468
2025,2024-11-03,2025-04-20,25,12646.0,98024
2026,2025-10-19,2025-11-09,4,1982.0,4644
